@RELATION note-complete
@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Note-3,Note-4,iphone-4S,iphone-5S,Xperia-C,Xperia-Z}
@DATA
0.172842,0.090887,0.075065,0.087051,0.162444,0.066957,0.079183,0.081855,0.183716,0.188966,0.083924,0.072762,0.074871,0.184466,0.064352,0.073967,0.080596,0.176096,0.170392,0.119565,0.067948,0.121962,0.162477,0.063227,0.067841,0.068684,0.157904,Note-3
0.227081,0.167806,0.039544,0.174992,0.214783,0.038251,0.040591,0.039483,0.057468,0.216138,0.177436,0.036567,0.177908,0.224761,0.038169,0.038949,0.035376,0.054697,0.198440,0.200287,0.034473,0.212627,0.201068,0.034247,0.035376,0.031270,0.052212,iphone-4S
0.286068,0.117074,0.038941,0.130197,0.282692,0.039570,0.043477,0.041938,0.020043,0.284908,0.116228,0.040585,0.122246,0.279921,0.045942,0.047908,0.040158,0.022105,0.256439,0.166343,0.035590,0.183051,0.237081,0.035768,0.038756,0.034003,0.012970,iphone-4S
0.184077,0.182164,0.059608,0.186899,0.177016,0.059204,0.064934,0.060615,0.025483,0.193567,0.154400,0.068820,0.154145,0.190721,0.067849,0.068452,0.068302,0.033745,0.187437,0.186774,0.057744,0.188844,0.184509,0.055289,0.059131,0.057214,0.023057,Note-4
0.167162,0.191097,0.058019,0.199548,0.169799,0.059931,0.064659,0.061678,0.028108,0.182957,0.170563,0.063886,0.169851,0.185682,0.064096,0.065043,0.064513,0.033409,0.166244,0.204315,0.054549,0.208286,0.171493,0.056037,0.056773,0.056903,0.025398,Note-4
0.223945,0.148579,0.044700,0.146904,0.220001,0.039102,0.045249,0.046245,0.085276,0.235304,0.128341,0.042985,0.152462,0.225997,0.042165,0.044841,0.042467,0.085437,0.214478,0.176186,0.037688,0.187691,0.201549,0.032461,0.036274,0.036823,0.076850,Note-3
0.167478,0.079704,0.100729,0.072867,0.158546,0.087979,0.096581,0.109845,0.126270,0.178380,0.070280,0.093317,0.075269,0.156124,0.094734,0.110831,0.094980,0.126086,0.176676,0.112309,0.093009,0.107566,0.155959,0.082579,0.089231,0.093789,0.088882,iphone-5S
0.190191,0.187998,0.048448,0.189686,0.190660,0.048648,0.050574,0.051192,0.042603,0.215512,0.162439,0.051861,0.164834,0.211504,0.050842,0.051021,0.050470,0.041517,0.184644,0.214932,0.041867,0.214270,0.185916,0.041666,0.041286,0.041889,0.033530,Xperia-Z
0.174647,0.076709,0.048164,0.163056,0.221788,0.101720,0.088579,0.059538,0.065799,0.217759,0.070262,0.055013,0.155060,0.194390,0.087711,0.102960,0.052534,0.064311,0.246273,0.143685,0.075314,0.159678,0.147373,0.048288,0.086657,0.049031,0.043701,Xperia-C
0.226127,0.139638,0.037549,0.145671,0.238433,0.036237,0.039156,0.040743,0.096445,0.238360,0.127097,0.039645,0.143408,0.227004,0.040998,0.042839,0.041018,0.099632,0.211135,0.168899,0.032943,0.181594,0.214449,0.032769,0.033344,0.034289,0.090579,Note-3
0.152318,0.109147,0.042470,0.177524,0.181013,0.083224,0.074733,0.053047,0.126524,0.182567,0.101639,0.047183,0.168695,0.160358,0.077182,0.087236,0.048085,0.127055,0.197583,0.167624,0.063036,0.183768,0.112643,0.046772,0.076304,0.042317,0.109953,Xperia-C
0.167206,0.187526,0.062147,0.195650,0.166163,0.061015,0.064080,0.063943,0.032269,0.172237,0.169928,0.069018,0.169560,0.172322,0.068824,0.068896,0.069337,0.039879,0.150506,0.207207,0.059543,0.216062,0.150935,0.060461,0.062734,0.061642,0.030910,Note-4
0.282779,0.147499,0.031610,0.151664,0.276431,0.030405,0.032367,0.032702,0.014543,0.292775,0.110834,0.040964,0.134496,0.274014,0.041975,0.043488,0.039130,0.022323,0.266568,0.173432,0.027640,0.187144,0.252066,0.027091,0.027191,0.027111,0.011758,Note-3
0.218011,0.136733,0.056230,0.144633,0.221366,0.050686,0.057871,0.058741,0.055728,0.244292,0.118688,0.055501,0.136619,0.225611,0.052635,0.057563,0.055079,0.054014,0.222270,0.163401,0.047211,0.179993,0.210097,0.042471,0.046883,0.045611,0.042062,Note-3
0.186704,0.107202,0.075836,0.108444,0.185774,0.079636,0.092144,0.087325,0.076936,0.207399,0.109299,0.072430,0.110244,0.216300,0.076304,0.077241,0.074490,0.056293,0.196297,0.142792,0.063603,0.145090,0.202781,0.071128,0.069009,0.067626,0.041673,Xperia-Z
0.149381,0.151262,0.057965,0.152943,0.150418,0.053719,0.062658,0.062846,0.158808,0.185511,0.113586,0.058520,0.126361,0.181881,0.057362,0.060161,0.058467,0.158152,0.160422,0.163495,0.050773,0.172775,0.157395,0.046635,0.050291,0.051122,0.147091,Note-3
0.202270,0.117509,0.061245,0.121245,0.198406,0.058246,0.068276,0.068591,0.104212,0.229796,0.087620,0.063261,0.104332,0.211925,0.063750,0.070137,0.063321,0.105859,0.216927,0.131235,0.055983,0.146850,0.198808,0.050097,0.056271,0.054208,0.089622,Note-3
0.220730,0.135407,0.040743,0.143328,0.223622,0.036364,0.040060,0.041781,0.117965,0.225129,0.120268,0.043080,0.135701,0.226073,0.040676,0.044874,0.043201,0.120998,0.205437,0.164459,0.036471,0.177014,0.205979,0.030981,0.034422,0.034001,0.111235,Note-3
0.165245,0.186961,0.060924,0.189813,0.164556,0.058368,0.065255,0.066739,0.042140,0.184139,0.152779,0.065708,0.166462,0.186222,0.064520,0.067805,0.066568,0.045797,0.142105,0.217154,0.057588,0.225358,0.146516,0.054193,0.058801,0.060285,0.038000,Note-3
0.178635,0.159948,0.064347,0.164328,0.179327,0.065328,0.070690,0.070310,0.047087,0.214947,0.138821,0.066213,0.141603,0.201472,0.065759,0.068481,0.065908,0.036795,0.184651,0.190987,0.057193,0.196215,0.171972,0.056397,0.060301,0.055914,0.026369,Xperia-Z
0.168129,0.103462,0.032802,0.105939,0.170392,0.031168,0.034195,0.034161,0.319752,0.173639,0.093746,0.035320,0.103080,0.165551,0.034208,0.036813,0.035393,0.322250,0.159725,0.124299,0.029113,0.134188,0.154891,0.027104,0.028196,0.028510,0.313974,Note-3
0.205172,0.075370,0.083506,0.071350,0.180755,0.077641,0.102977,0.097765,0.105466,0.225988,0.052282,0.079736,0.078592,0.175084,0.085455,0.115439,0.080606,0.106819,0.200524,0.115962,0.079913,0.142377,0.148169,0.074363,0.097144,0.073331,0.068216,iphone-4S
0.234400,0.148251,0.046209,0.148526,0.235888,0.046157,0.049615,0.048834,0.042119,0.250255,0.135088,0.046351,0.135832,0.250151,0.047853,0.046760,0.047407,0.040305,0.229455,0.176315,0.037144,0.177736,0.230853,0.038647,0.039688,0.038334,0.031827,Xperia-Z
0.238084,0.147963,0.029328,0.183994,0.259870,0.042698,0.038824,0.031222,0.028016,0.260769,0.144235,0.033287,0.179088,0.238994,0.040452,0.044107,0.031283,0.027786,0.243561,0.194001,0.034683,0.209132,0.206983,0.027166,0.037440,0.025502,0.021531,Xperia-C
0.237964,0.136734,0.037606,0.135596,0.245056,0.038733,0.039548,0.039387,0.089375,0.234456,0.139019,0.040127,0.138461,0.233286,0.040170,0.042509,0.041919,0.090051,0.205884,0.184833,0.031480,0.186561,0.207086,0.033894,0.034194,0.035385,0.080684,Note-4
0.160830,0.173680,0.068415,0.177352,0.157659,0.067384,0.073696,0.071917,0.049066,0.181525,0.145694,0.076676,0.143324,0.173292,0.073818,0.076684,0.075010,0.053975,0.149596,0.194081,0.068597,0.195896,0.142148,0.064432,0.071739,0.068104,0.045407,Note-4
0.160053,0.177348,0.069030,0.179532,0.149572,0.067295,0.074986,0.073890,0.048294,0.171966,0.146818,0.077497,0.145819,0.169697,0.075637,0.077400,0.076834,0.058330,0.138719,0.197486,0.069467,0.202605,0.134792,0.065819,0.072370,0.070704,0.048039,Note-4
0.200636,0.071326,0.080227,0.074242,0.194256,0.079083,0.101237,0.094905,0.104088,0.216619,0.052145,0.076675,0.081758,0.178427,0.089153,0.116083,0.082136,0.107004,0.187771,0.114432,0.077875,0.143175,0.159165,0.077255,0.096588,0.074846,0.068893,iphone-4S
0.254417,0.128457,0.048955,0.141846,0.250292,0.050365,0.051412,0.050236,0.024022,0.269191,0.113425,0.047183,0.127498,0.260611,0.052298,0.056245,0.047513,0.026036,0.231893,0.176928,0.044323,0.201281,0.201152,0.041189,0.047674,0.040166,0.015395,iphone-4S
0.246443,0.154457,0.042604,0.156551,0.245035,0.042261,0.044901,0.046672,0.021076,0.255056,0.138116,0.046636,0.138403,0.249451,0.046644,0.050122,0.050680,0.024893,0.214028,0.196479,0.038601,0.197947,0.213050,0.039183,0.041302,0.041363,0.018047,Note-4
0.203281,0.133472,0.044345,0.140536,0.212889,0.043602,0.046609,0.046970,0.128296,0.210840,0.127667,0.044848,0.137322,0.211905,0.045216,0.047272,0.045357,0.129575,0.186080,0.165203,0.040469,0.174309,0.193780,0.038862,0.040027,0.040757,0.120516,Note-3
0.163006,0.171992,0.066796,0.172467,0.166508,0.064821,0.073237,0.075226,0.045946,0.185323,0.131028,0.073726,0.148858,0.176866,0.074496,0.079351,0.075427,0.054925,0.158614,0.190566,0.063629,0.203957,0.158406,0.059632,0.063729,0.064747,0.036719,Note-3
0.144132,0.182836,0.073615,0.160179,0.139489,0.065340,0.079939,0.081231,0.073238,0.166321,0.123301,0.075200,0.145364,0.167413,0.080718,0.083576,0.079813,0.078294,0.129996,0.203189,0.069747,0.202671,0.126158,0.065501,0.068932,0.072735,0.061069,Note-3
0.228642,0.171440,0.036752,0.177497,0.222256,0.036998,0.037039,0.034124,0.055251,0.222564,0.176347,0.034329,0.181131,0.229648,0.033980,0.034309,0.033323,0.054368,0.205461,0.207248,0.029401,0.214064,0.204086,0.030449,0.029997,0.028211,0.051083,iphone-4S
0.157397,0.172500,0.066118,0.172932,0.154623,0.067412,0.075091,0.072289,0.061638,0.177453,0.140506,0.075374,0.140866,0.170126,0.074663,0.077109,0.075597,0.068306,0.146276,0.189220,0.065746,0.190927,0.143761,0.066397,0.070825,0.067853,0.058993,Note-4
0.187517,0.154994,0.062725,0.139986,0.185258,0.056401,0.065086,0.069130,0.078904,0.191418,0.152633,0.062150,0.135407,0.180105,0.061903,0.070773,0.064059,0.081552,0.181419,0.183287,0.058413,0.175875,0.171543,0.050734,0.058700,0.058023,0.062006,iphone-5S
0.144429,0.087619,0.041217,0.154387,0.170539,0.076860,0.067047,0.047690,0.210213,0.167733,0.085785,0.045516,0.150149,0.148327,0.070277,0.078608,0.045613,0.207991,0.180982,0.144684,0.060623,0.160799,0.104050,0.042140,0.075074,0.038072,0.193576,Xperia-C
0.259193,0.146421,0.032995,0.154036,0.265663,0.033530,0.033136,0.033627,0.041398,0.272289,0.138896,0.033813,0.141625,0.272110,0.033501,0.033248,0.034549,0.039970,0.244038,0.178978,0.027961,0.185239,0.249392,0.026957,0.026696,0.026667,0.034073,Xperia-Z
0.258038,0.129869,0.039618,0.142364,0.259813,0.030767,0.033505,0.037181,0.068845,0.259900,0.131282,0.035554,0.154630,0.252173,0.031034,0.031543,0.036090,0.067794,0.232822,0.173867,0.030726,0.192005,0.227559,0.025095,0.025276,0.029561,0.063087,Note-3
0.217596,0.152065,0.055335,0.151919,0.206555,0.048116,0.055762,0.056950,0.055702,0.241084,0.127522,0.052623,0.147895,0.220041,0.049162,0.054978,0.053152,0.053544,0.217727,0.177101,0.046874,0.190236,0.192852,0.040601,0.046411,0.045239,0.042960,Note-3
0.162718,0.092574,0.043318,0.163859,0.178554,0.084231,0.075791,0.048953,0.150003,0.199903,0.081875,0.048066,0.152055,0.157909,0.075657,0.090947,0.046172,0.147416,0.224227,0.146676,0.065845,0.160253,0.107839,0.043597,0.081474,0.038667,0.131423,Xperia-C
0.113632,0.104607,0.072702,0.105209,0.112193,0.069729,0.092782,0.085497,0.243649,0.134422,0.084600,0.075514,0.090204,0.124399,0.076866,0.091430,0.081835,0.240730,0.112159,0.129749,0.074195,0.139993,0.101319,0.068350,0.079471,0.074496,0.220268,Note-3
0.151335,0.067368,0.079422,0.068682,0.166568,0.084893,0.086624,0.090356,0.204752,0.162067,0.063967,0.087906,0.062629,0.165500,0.084828,0.088035,0.088051,0.197017,0.161553,0.086349,0.076996,0.088565,0.178298,0.083405,0.081379,0.083344,0.160110,Note-4
0.184587,0.148815,0.057895,0.145359,0.182680,0.054751,0.065059,0.064918,0.095935,0.207586,0.119483,0.056914,0.138181,0.200493,0.058750,0.065612,0.060280,0.092701,0.180950,0.171231,0.052503,0.185311,0.177112,0.048639,0.051954,0.052618,0.079682,Note-3
0.189038,0.187178,0.024392,0.185468,0.188598,0.023437,0.024424,0.026680,0.150785,0.178424,0.199208,0.027764,0.184121,0.174898,0.026745,0.027703,0.028213,0.152924,0.171638,0.212949,0.021007,0.216960,0.166297,0.020671,0.020267,0.020647,0.149564,Note-4
0.218766,0.102926,0.076193,0.106396,0.195319,0.071717,0.084365,0.078986,0.065332,0.205852,0.090463,0.074654,0.114239,0.202566,0.080567,0.089457,0.075146,0.067057,0.194231,0.141895,0.067529,0.161174,0.179489,0.068165,0.072395,0.067200,0.047921,iphone-4S
0.198501,0.112658,0.077939,0.116579,0.183965,0.074530,0.086644,0.080977,0.068207,0.194888,0.102864,0.076953,0.125100,0.181213,0.080197,0.093953,0.075824,0.069007,0.179366,0.154419,0.069911,0.169757,0.160600,0.069911,0.078883,0.066626,0.050529,iphone-4S
0.254275,0.118038,0.040984,0.129247,0.256558,0.035655,0.036418,0.040897,0.087928,0.262337,0.106943,0.042009,0.127251,0.253398,0.038534,0.038868,0.041881,0.088778,0.242357,0.145926,0.036532,0.159330,0.236907,0.031276,0.031142,0.034275,0.082256,Note-3
0.203633,0.122463,0.073315,0.120482,0.188746,0.068417,0.071495,0.070746,0.080702,0.184017,0.133468,0.066726,0.137407,0.181045,0.074854,0.075756,0.067499,0.079228,0.193749,0.165006,0.066975,0.161743,0.168784,0.060636,0.066323,0.058162,0.058622,iphone-5S
0.182666,0.193676,0.052467,0.190805,0.184906,0.051500,0.057263,0.057174,0.029543,0.200373,0.157769,0.063001,0.160826,0.187449,0.061517,0.065924,0.063130,0.040012,0.186928,0.203385,0.048819,0.209229,0.177894,0.048504,0.051141,0.049661,0.024440,Note-4
0.173761,0.176204,0.064028,0.180332,0.171893,0.063397,0.067821,0.066923,0.035641,0.176244,0.154530,0.071707,0.158440,0.180866,0.072940,0.070805,0.072584,0.041885,0.151347,0.197275,0.063142,0.204724,0.155512,0.063126,0.065285,0.064978,0.034610,Note-4
0.157248,0.201091,0.066495,0.182042,0.145852,0.058755,0.069287,0.072179,0.047051,0.179130,0.146528,0.068343,0.175902,0.166348,0.070191,0.074315,0.068778,0.050465,0.137630,0.223683,0.064566,0.224801,0.124446,0.056465,0.063080,0.063575,0.041754,Note-3
0.220542,0.133338,0.035701,0.136893,0.221219,0.033204,0.037114,0.038045,0.143944,0.227633,0.120429,0.037543,0.135172,0.214389,0.037877,0.041600,0.038420,0.146937,0.209468,0.157469,0.031075,0.171771,0.200562,0.027941,0.031329,0.031584,0.138801,Note-3
0.162022,0.138132,0.078560,0.141935,0.161406,0.072166,0.087426,0.086026,0.072327,0.189314,0.109501,0.078145,0.123555,0.179525,0.079277,0.085504,0.082270,0.072909,0.163709,0.166615,0.072655,0.179786,0.153740,0.066589,0.072702,0.073244,0.050961,Note-3
0.188463,0.141165,0.057349,0.138902,0.193164,0.052441,0.062176,0.062310,0.104031,0.213405,0.101393,0.059324,0.119746,0.208838,0.060435,0.066629,0.063301,0.106930,0.194289,0.155280,0.048463,0.167580,0.193981,0.047894,0.049876,0.050271,0.092367,Note-3
0.157700,0.175852,0.065973,0.180122,0.152301,0.064630,0.070942,0.069305,0.063175,0.169172,0.149738,0.073429,0.150999,0.162281,0.073433,0.075860,0.074032,0.071056,0.142613,0.196592,0.066009,0.199863,0.135415,0.062879,0.068549,0.066191,0.061889,Note-4
0.247512,0.164923,0.042195,0.159470,0.240420,0.039222,0.042829,0.044026,0.019402,0.254359,0.137743,0.044057,0.160038,0.246446,0.044504,0.046919,0.044363,0.021571,0.227768,0.193566,0.036677,0.202178,0.219090,0.033286,0.037019,0.037059,0.013356,Note-3
0.140919,0.086878,0.041690,0.157885,0.171024,0.082810,0.070192,0.051187,0.197413,0.167940,0.083357,0.045346,0.151290,0.154120,0.074054,0.081341,0.046803,0.195750,0.178311,0.148801,0.061595,0.162232,0.106515,0.044338,0.075912,0.039407,0.182889,Xperia-C
0.233092,0.115910,0.059297,0.114884,0.239517,0.065187,0.065343,0.062279,0.044492,0.250909,0.103424,0.062049,0.101818,0.251913,0.064904,0.063908,0.061974,0.039100,0.232943,0.145670,0.049942,0.146347,0.238951,0.055810,0.054084,0.051177,0.025075,Xperia-Z
0.186562,0.166656,0.064419,0.156123,0.179223,0.061232,0.071637,0.071503,0.042645,0.207586,0.122330,0.065825,0.140147,0.211383,0.067640,0.070974,0.067164,0.046950,0.185624,0.183053,0.056592,0.188745,0.185276,0.054503,0.059036,0.058192,0.028979,Note-3
0.191590,0.097388,0.053009,0.100562,0.189985,0.052528,0.050356,0.050380,0.214202,0.180264,0.088844,0.055734,0.088597,0.196786,0.054121,0.054012,0.057331,0.224311,0.194178,0.106232,0.050587,0.103276,0.205383,0.047323,0.047756,0.047214,0.198052,Note-4
0.210633,0.129448,0.058273,0.136833,0.209140,0.054114,0.060710,0.064238,0.076612,0.225136,0.107359,0.059351,0.126816,0.225410,0.057569,0.061353,0.060583,0.076425,0.203462,0.154684,0.052682,0.169642,0.205316,0.046876,0.050559,0.052474,0.064305,Note-3
0.176814,0.138569,0.069225,0.138301,0.174077,0.069240,0.079822,0.077182,0.076773,0.198951,0.126856,0.069604,0.126462,0.193828,0.072534,0.074505,0.070318,0.066942,0.175557,0.170983,0.062264,0.171385,0.171958,0.065105,0.067745,0.062941,0.052062,Xperia-Z
0.191746,0.184396,0.056873,0.163433,0.183369,0.044903,0.052561,0.054224,0.068494,0.195175,0.182363,0.052685,0.149184,0.200062,0.049379,0.058084,0.051021,0.062047,0.177456,0.208397,0.051309,0.201027,0.169100,0.042460,0.052192,0.045786,0.052274,iphone-5S
0.188925,0.141648,0.030044,0.181468,0.209630,0.062554,0.045892,0.038096,0.101743,0.216492,0.134398,0.035521,0.176319,0.190054,0.054138,0.058971,0.033773,0.100334,0.207711,0.182525,0.041010,0.204360,0.156099,0.033894,0.057818,0.027178,0.089404,Xperia-C
0.141065,0.105337,0.045103,0.180266,0.164940,0.097006,0.075864,0.054927,0.135491,0.179999,0.097796,0.051369,0.170636,0.143700,0.081705,0.093035,0.048613,0.133147,0.186702,0.168122,0.071710,0.188172,0.085482,0.046487,0.097942,0.041533,0.113850,Xperia-C
