@RELATION xperia-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Xperia-C,Xperia-Z,Xperia-Z1}

@DATA
0.140543,0.084231,0.038569,0.146554,0.161273,0.073739,0.064351,0.045832,0.244909,0.180812,0.075220,0.042480,0.138721,0.139717,0.063635,0.074516,0.041095,0.243804,0.193321,0.130633,0.057101,0.144368,0.104900,0.037294,0.067642,0.035509,0.229231,Xperia-C
0.163685,0.198128,0.053379,0.205912,0.160938,0.050663,0.058998,0.058680,0.049615,0.171376,0.194496,0.055979,0.200130,0.165563,0.054194,0.056135,0.055452,0.046674,0.155420,0.223343,0.052580,0.229048,0.152354,0.049289,0.049809,0.050485,0.037671,Xperia-Z1
0.147373,0.058608,0.050147,0.154843,0.201798,0.121649,0.104448,0.066140,0.094995,0.183171,0.052441,0.058856,0.155865,0.152766,0.109406,0.129490,0.059042,0.098962,0.238556,0.123880,0.088362,0.140369,0.119789,0.055695,0.113219,0.051542,0.068588,Xperia-C
0.241387,0.112229,0.061929,0.112497,0.241582,0.061088,0.058920,0.057059,0.053309,0.239398,0.114876,0.061071,0.114246,0.241320,0.061756,0.062108,0.059795,0.045430,0.226080,0.152081,0.050885,0.153480,0.226910,0.051559,0.054574,0.051961,0.032469,Xperia-Z
0.150416,0.092817,0.046342,0.179294,0.180145,0.092708,0.085494,0.058461,0.114324,0.188779,0.089429,0.054502,0.168802,0.150124,0.082567,0.097541,0.051794,0.116461,0.207894,0.161916,0.075087,0.175906,0.098622,0.048698,0.086271,0.046876,0.098731,Xperia-C
0.165994,0.139781,0.075821,0.141744,0.169831,0.074505,0.083592,0.083406,0.065328,0.188407,0.121175,0.079844,0.124313,0.187611,0.079822,0.080669,0.080684,0.057475,0.157353,0.177944,0.070801,0.181603,0.157442,0.069649,0.072631,0.071612,0.040967,Xperia-Z
0.256680,0.135066,0.045778,0.137438,0.257803,0.046031,0.048054,0.047607,0.025544,0.272727,0.114928,0.050396,0.116832,0.262763,0.051400,0.051868,0.052210,0.026875,0.250969,0.160476,0.040461,0.164982,0.244254,0.040491,0.040900,0.041227,0.016241,Xperia-Z
0.254687,0.127697,0.044953,0.131095,0.265388,0.045577,0.046871,0.046722,0.037011,0.273612,0.122045,0.045949,0.124923,0.262740,0.045473,0.046603,0.045585,0.033069,0.243867,0.163525,0.038208,0.167124,0.246611,0.038565,0.039680,0.038215,0.024205,Xperia-Z
0.194564,0.149537,0.065574,0.152467,0.184086,0.062450,0.072281,0.070080,0.048961,0.211787,0.127659,0.068437,0.131511,0.204901,0.067447,0.070288,0.069678,0.048292,0.186473,0.180703,0.060792,0.186466,0.176910,0.057364,0.059439,0.057475,0.034378,Xperia-Z
0.181521,0.150169,0.068667,0.152898,0.179044,0.066696,0.074899,0.072928,0.053177,0.201212,0.136055,0.068399,0.137401,0.204395,0.070296,0.069344,0.069537,0.043361,0.176933,0.183692,0.059468,0.185782,0.179119,0.061112,0.061268,0.061097,0.031530,Xperia-Z
0.156708,0.157019,0.070942,0.159944,0.154357,0.069739,0.070244,0.068490,0.092557,0.182203,0.141450,0.074807,0.145082,0.171462,0.069980,0.069057,0.067427,0.078533,0.151788,0.185990,0.067954,0.192579,0.144477,0.063624,0.066131,0.061055,0.066402,Xperia-Z1
0.176879,0.198376,0.054078,0.202862,0.175280,0.052409,0.055273,0.054598,0.030244,0.192323,0.180247,0.056755,0.181442,0.193534,0.056119,0.055017,0.056142,0.028420,0.151299,0.235986,0.050407,0.243009,0.149747,0.047993,0.049375,0.048995,0.023190,Xperia-Z1
0.184503,0.147403,0.063001,0.149418,0.180770,0.063581,0.069782,0.068392,0.073151,0.205116,0.130121,0.063997,0.133683,0.206960,0.065373,0.065521,0.065611,0.063618,0.182718,0.179149,0.055207,0.179907,0.182086,0.056665,0.057267,0.054575,0.052426,Xperia-Z
0.192289,0.191091,0.049749,0.194445,0.193530,0.049444,0.051504,0.050433,0.027514,0.215936,0.168619,0.050894,0.168938,0.217907,0.050983,0.050515,0.050641,0.025566,0.185447,0.217200,0.042380,0.221870,0.188645,0.043153,0.041621,0.040974,0.018710,Xperia-Z
