5S,0.168217,0.066153,0.093502,0.063115,0.184868,0.089703,0.093686,0.105102,0.135653,0.183410,0.056976,0.096910,0.067488,0.149738,0.094569,0.116292,0.092147,0.142470,0.187127,0.088512,0.089888,0.091058,0.183451,0.083380,0.087938,0.089416,0.099230
5S,0.153372,0.075372,0.105246,0.065784,0.140499,0.087137,0.100688,0.112042,0.159860,0.157520,0.067426,0.096171,0.074469,0.137932,0.098203,0.113130,0.094898,0.160250,0.172528,0.097526,0.099148,0.093132,0.147706,0.085556,0.094282,0.093071,0.117052
5S,0.133888,0.067940,0.115984,0.058495,0.117134,0.086562,0.106314,0.112001,0.201684,0.146248,0.059809,0.100072,0.067693,0.126455,0.101201,0.114855,0.095637,0.188030,0.170332,0.087732,0.101920,0.080382,0.138754,0.085248,0.097916,0.092742,0.144975
5S,0.151032,0.073196,0.109578,0.066564,0.129248,0.084694,0.098306,0.108285,0.179099,0.163104,0.067611,0.100051,0.068987,0.137707,0.093091,0.111323,0.089457,0.168669,0.181727,0.095247,0.099086,0.092414,0.148465,0.079417,0.094241,0.085823,0.123581
5S,0.148137,0.073278,0.112411,0.066215,0.124197,0.082004,0.097403,0.104568,0.191787,0.165445,0.067899,0.096479,0.070650,0.135161,0.091017,0.109311,0.088944,0.175095,0.185464,0.093645,0.096048,0.088389,0.142778,0.082640,0.090853,0.086500,0.133682
5S,0.143086,0.068761,0.113767,0.059460,0.111693,0.083503,0.105964,0.106293,0.207474,0.143989,0.062704,0.099394,0.067673,0.124402,0.096623,0.115265,0.095185,0.194764,0.169777,0.086706,0.103993,0.082127,0.131588,0.087178,0.097752,0.091407,0.149471
5S,0.116867,0.063279,0.119372,0.055066,0.105205,0.088882,0.105985,0.109373,0.235972,0.132553,0.059008,0.100421,0.065086,0.112021,0.101776,0.113931,0.095308,0.219895,0.139698,0.083852,0.105307,0.080546,0.122410,0.090874,0.099805,0.096725,0.180782
5S,0.109229,0.064388,0.110030,0.058372,0.110564,0.091654,0.098060,0.112288,0.245416,0.138117,0.056462,0.098963,0.061657,0.109311,0.097054,0.112062,0.093009,0.233364,0.139924,0.082538,0.100955,0.082948,0.118386,0.093071,0.096027,0.093933,0.192218
5S,0.158115,0.120316,0.083215,0.117483,0.166554,0.078247,0.083729,0.095452,0.096889,0.181768,0.111816,0.085515,0.114711,0.153146,0.077713,0.096150,0.083256,0.095924,0.154461,0.164932,0.082702,0.160394,0.140499,0.071512,0.078760,0.078226,0.068515
5S,0.131773,0.081696,0.106416,0.070978,0.132964,0.088307,0.100072,0.108428,0.179366,0.157417,0.069890,0.101119,0.077097,0.122698,0.094241,0.116497,0.088923,0.172118,0.153516,0.104219,0.103295,0.098450,0.134565,0.086090,0.094775,0.091736,0.133354
5S,0.130952,0.075393,0.104774,0.066461,0.136290,0.092516,0.099230,0.113623,0.180762,0.149225,0.067262,0.103952,0.073073,0.116230,0.095924,0.120131,0.094405,0.179797,0.155877,0.100400,0.100585,0.099086,0.128262,0.087363,0.096766,0.096171,0.135489
5S,0.143476,0.081758,0.101920,0.072867,0.143599,0.093481,0.102823,0.120583,0.139493,0.155179,0.070301,0.099086,0.079478,0.135571,0.099435,0.123088,0.102187,0.135674,0.143353,0.113007,0.096253,0.113253,0.138323,0.091038,0.102741,0.101324,0.100708
5S,0.146597,0.106601,0.092804,0.092865,0.148917,0.078082,0.086090,0.096109,0.151935,0.177169,0.104856,0.092085,0.094569,0.141259,0.077302,0.093029,0.081696,0.138035,0.174397,0.126948,0.089067,0.115697,0.149410,0.070465,0.084817,0.077939,0.111262
5S,0.180577,0.085412,0.085987,0.078288,0.178195,0.077898,0.089231,0.095596,0.128816,0.215625,0.066851,0.080136,0.077713,0.193307,0.077569,0.093686,0.077466,0.117647,0.193861,0.124032,0.077323,0.118509,0.176799,0.069418,0.074879,0.071943,0.093235
5S,0.193717,0.085638,0.091449,0.076255,0.182117,0.080649,0.093666,0.100400,0.096109,0.219813,0.083133,0.076645,0.090812,0.205297,0.078247,0.091941,0.082928,0.071184,0.210225,0.128632,0.072272,0.130603,0.193245,0.068658,0.073791,0.075228,0.047346
5S,0.181747,0.092249,0.089498,0.083954,0.180495,0.083092,0.091366,0.098142,0.099456,0.218581,0.080567,0.079971,0.091839,0.196571,0.083544,0.090750,0.081901,0.076276,0.195462,0.132492,0.076132,0.130048,0.176553,0.073381,0.079294,0.078103,0.058536
5S,0.201684,0.085002,0.090730,0.074674,0.189878,0.075290,0.085925,0.093933,0.102885,0.215152,0.078123,0.076645,0.085494,0.203182,0.083318,0.088820,0.081183,0.088081,0.193697,0.115224,0.081983,0.111775,0.176840,0.078739,0.082353,0.082948,0.076440
5S,0.191787,0.090422,0.083523,0.085679,0.203080,0.079643,0.086665,0.092331,0.086870,0.201170,0.083236,0.079314,0.090545,0.194251,0.087794,0.096171,0.084365,0.083154,0.170681,0.131609,0.078616,0.133826,0.178524,0.076707,0.080834,0.084591,0.064613
5S,0.220368,0.089539,0.085227,0.080546,0.200903,0.072395,0.080115,0.086069,0.084837,0.232995,0.077158,0.078000,0.080320,0.205605,0.080464,0.088554,0.077754,0.079150,0.224967,0.132040,0.069787,0.131773,0.192485,0.061349,0.070095,0.066318,0.051186
5S,0.168689,0.089724,0.094939,0.078226,0.158526,0.080485,0.095719,0.101591,0.132101,0.168812,0.079478,0.090668,0.079273,0.150518,0.089806,0.111262,0.091654,0.138528,0.172179,0.115655,0.088615,0.113664,0.157930,0.077097,0.089293,0.087137,0.098429
5S,0.134442,0.075968,0.107361,0.067406,0.130767,0.088430,0.100729,0.106724,0.188174,0.151504,0.064819,0.100257,0.072703,0.128241,0.094426,0.117093,0.093728,0.177230,0.146248,0.102679,0.105431,0.099025,0.129248,0.085515,0.100524,0.089477,0.141854
5S,0.192095,0.085494,0.082148,0.078021,0.206837,0.078431,0.081183,0.091243,0.104548,0.209445,0.073873,0.080012,0.082415,0.195565,0.082271,0.092434,0.078637,0.105349,0.189385,0.124792,0.075187,0.122020,0.196243,0.069644,0.074715,0.074263,0.073750
5S,0.217657,0.092721,0.075598,0.089005,0.235890,0.071471,0.076953,0.084119,0.056586,0.241125,0.081922,0.076050,0.090340,0.211888,0.073011,0.089026,0.075783,0.060856,0.209999,0.137296,0.068063,0.136352,0.208541,0.063135,0.067693,0.071800,0.037121
5S,0.201745,0.088923,0.073401,0.083975,0.190966,0.066564,0.073894,0.076440,0.144092,0.221291,0.081306,0.070876,0.085330,0.185422,0.068248,0.076317,0.067714,0.143497,0.206221,0.128365,0.063772,0.125942,0.174458,0.057633,0.064059,0.058803,0.120747
5S,0.174602,0.072765,0.098819,0.065845,0.164357,0.087075,0.099127,0.106519,0.130890,0.196653,0.070321,0.082415,0.081080,0.178667,0.090709,0.101324,0.087814,0.111015,0.190227,0.109065,0.084406,0.109558,0.176655,0.079068,0.082702,0.086275,0.082045
5S,0.218602,0.107710,0.064963,0.104507,0.218561,0.060712,0.065578,0.069315,0.090052,0.235233,0.102844,0.065496,0.104527,0.220696,0.064470,0.070424,0.061513,0.074797,0.209958,0.155200,0.055764,0.151381,0.199425,0.055497,0.056237,0.056811,0.059727
5S,0.137748,0.073689,0.109742,0.061287,0.120193,0.083051,0.095267,0.110338,0.208685,0.128919,0.063053,0.099333,0.069726,0.119577,0.097978,0.114937,0.095206,0.211272,0.148342,0.091921,0.097649,0.088944,0.134072,0.087979,0.093892,0.096335,0.160866
5S,0.113212,0.071553,0.110379,0.060897,0.119084,0.096848,0.108469,0.121507,0.198049,0.157068,0.061493,0.103603,0.063607,0.112925,0.098573,0.121897,0.100031,0.180803,0.152448,0.094426,0.105841,0.088451,0.125285,0.093337,0.101365,0.101509,0.137337
5S,0.134627,0.079622,0.108634,0.067180,0.125388,0.088615,0.103213,0.114937,0.177785,0.156616,0.066502,0.098553,0.073976,0.128570,0.098963,0.117093,0.096273,0.163453,0.150991,0.108983,0.099086,0.096910,0.130582,0.088287,0.097957,0.096458,0.130746
5S,0.141402,0.103993,0.093974,0.093440,0.142778,0.083811,0.099271,0.107894,0.133436,0.159224,0.090155,0.091182,0.093071,0.139801,0.090668,0.108551,0.093769,0.133580,0.130171,0.146145,0.091079,0.138939,0.123375,0.083729,0.091325,0.089477,0.105759
5S,0.179694,0.073114,0.109701,0.064264,0.143373,0.079766,0.097218,0.099969,0.152900,0.173863,0.061698,0.094138,0.071738,0.153003,0.095288,0.110153,0.090997,0.149122,0.197064,0.098614,0.093830,0.099518,0.149492,0.077138,0.090114,0.086151,0.108079
