@RELATION iphone-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {iphone-4,iphone-4S,iphone-5S,iphone-5}

@DATA
0.214454,0.162386,0.035007,0.170578,0.212586,0.031722,0.031516,0.032009,0.109742,0.206570,0.167560,0.029894,0.177764,0.222072,0.028909,0.028929,0.029689,0.108613,0.190453,0.195442,0.027903,0.207658,0.194354,0.027164,0.024885,0.025234,0.106909,iphone-4S
0.119700,0.064367,0.115697,0.056339,0.104548,0.095185,0.106334,0.117401,0.220429,0.127461,0.056852,0.104158,0.064983,0.112576,0.103788,0.123581,0.097464,0.209137,0.147110,0.082743,0.105369,0.080813,0.124525,0.092372,0.105082,0.098470,0.163515,iphone-5S
0.189741,0.187544,0.045939,0.193903,0.237478,0.052734,0.037062,0.041378,0.014221,0.212993,0.187326,0.047866,0.202279,0.208985,0.050409,0.038398,0.038205,0.013540,0.152653,0.230130,0.040119,0.248590,0.189381,0.048996,0.034865,0.042354,0.012911,iphone-4
0.190036,0.200339,0.044680,0.202407,0.207584,0.047365,0.035546,0.036702,0.035340,0.198052,0.196421,0.046208,0.208561,0.195625,0.048225,0.036368,0.036998,0.033542,0.145203,0.246573,0.041057,0.259355,0.158653,0.042110,0.037499,0.036214,0.033336,iphone-4
0.133190,0.067714,0.109003,0.058782,0.130787,0.091079,0.102412,0.115532,0.191500,0.154933,0.059193,0.099456,0.066585,0.130479,0.101940,0.118489,0.095966,0.172960,0.163700,0.087589,0.101694,0.085782,0.145160,0.089293,0.097033,0.098142,0.131609,iphone-5S
0.187409,0.067741,0.084505,0.067588,0.174238,0.078189,0.107319,0.098296,0.134716,0.205808,0.047972,0.079365,0.077537,0.161429,0.089693,0.119531,0.082370,0.136295,0.178878,0.110493,0.081999,0.138454,0.140500,0.075797,0.102751,0.076675,0.094454,iphone-4S
0.153309,0.082072,0.096306,0.086366,0.143586,0.088275,0.109075,0.101172,0.139840,0.162428,0.070230,0.088372,0.092955,0.147477,0.096121,0.114190,0.089201,0.139026,0.143199,0.113731,0.087888,0.135151,0.132461,0.089515,0.102985,0.086503,0.108567,iphone-5
0.178757,0.157073,0.053454,0.187685,0.218928,0.064322,0.043986,0.046170,0.049626,0.192670,0.162173,0.059312,0.186735,0.194584,0.060802,0.047416,0.044320,0.051989,0.131354,0.203435,0.049266,0.245661,0.167979,0.060956,0.044307,0.047943,0.049099,iphone-4
0.152447,0.054320,0.105184,0.054642,0.145132,0.101188,0.103347,0.103702,0.180038,0.118460,0.050083,0.094059,0.071116,0.133153,0.122753,0.113618,0.097603,0.199154,0.159552,0.074838,0.099279,0.089701,0.144141,0.099835,0.108350,0.090232,0.134072,iphone-5S
0.105361,0.044299,0.128787,0.035864,0.088557,0.085955,0.104145,0.099787,0.307246,0.108100,0.037669,0.112362,0.044444,0.082588,0.098683,0.113562,0.092834,0.309760,0.126330,0.056729,0.120683,0.054328,0.105973,0.092842,0.109131,0.099835,0.234148,iphone-5S
0.302163,0.126419,0.027808,0.147090,0.300648,0.028727,0.029025,0.027929,0.010191,0.304749,0.128127,0.030153,0.131413,0.299255,0.031909,0.032304,0.030354,0.011737,0.283039,0.167672,0.025794,0.184299,0.258098,0.023974,0.026640,0.023579,0.006904,iphone-4S
0.232314,0.190101,0.031461,0.189176,0.252829,0.030228,0.025140,0.027902,0.020850,0.239122,0.189921,0.033285,0.192297,0.238287,0.030947,0.027029,0.027067,0.022044,0.192863,0.238686,0.027466,0.237632,0.206762,0.027684,0.024280,0.024742,0.019886,iphone-4
0.154155,0.080171,0.095026,0.081645,0.143296,0.087928,0.104717,0.104112,0.148951,0.157586,0.069932,0.090780,0.087606,0.144061,0.095412,0.115431,0.088460,0.150731,0.136634,0.110654,0.091658,0.129673,0.130423,0.091175,0.103742,0.086921,0.119120,iphone-5
0.201909,0.059129,0.094494,0.058420,0.185838,0.093559,0.103750,0.095791,0.107109,0.198929,0.051895,0.089322,0.063793,0.185169,0.104121,0.107270,0.089814,0.109687,0.197446,0.093398,0.082845,0.102864,0.189479,0.089451,0.095896,0.082306,0.066315,iphone-5
0.188593,0.118146,0.075958,0.122810,0.185379,0.074604,0.084803,0.083425,0.066283,0.194651,0.104821,0.074459,0.124042,0.184493,0.080259,0.092391,0.077545,0.067338,0.162984,0.157917,0.070625,0.174318,0.158738,0.072655,0.079800,0.073090,0.049873,iphone-5
0.220470,0.130048,0.068042,0.137193,0.205400,0.061719,0.068473,0.067242,0.041413,0.235561,0.110789,0.065763,0.132902,0.218622,0.065229,0.072272,0.059173,0.039688,0.207474,0.166102,0.058885,0.183903,0.185689,0.054553,0.059747,0.054902,0.028744,iphone-4S
0.236549,0.153865,0.040408,0.157272,0.229734,0.037765,0.042679,0.042027,0.059701,0.238120,0.142691,0.040569,0.145060,0.243646,0.042019,0.044427,0.041519,0.061949,0.192669,0.200814,0.037628,0.210762,0.190937,0.036903,0.039264,0.037741,0.053281,iphone-5
0.154477,0.072743,0.093745,0.075531,0.143787,0.085181,0.104604,0.094341,0.175591,0.156128,0.059637,0.088863,0.082362,0.137455,0.095154,0.115254,0.084005,0.181141,0.151021,0.095332,0.087751,0.114786,0.134740,0.088041,0.105168,0.081911,0.141249,iphone-5
0.197269,0.197084,0.045560,0.176368,0.193450,0.041721,0.046525,0.051227,0.050796,0.203080,0.202813,0.043897,0.166348,0.203675,0.040653,0.048106,0.043260,0.048168,0.178195,0.226773,0.043753,0.212360,0.179017,0.038148,0.043794,0.040550,0.037409,iphone-5S
0.219033,0.175998,0.048188,0.185197,0.206303,0.046628,0.048804,0.047141,0.022708,0.230120,0.163474,0.049399,0.174869,0.212483,0.048804,0.050631,0.045745,0.024474,0.178175,0.232420,0.044410,0.247305,0.159080,0.039072,0.042911,0.039134,0.017493,iphone-4S
0.221162,0.136714,0.054513,0.149080,0.216651,0.049809,0.057139,0.054932,0.059999,0.235373,0.127603,0.053055,0.136287,0.225649,0.052266,0.057486,0.052854,0.059427,0.193813,0.182366,0.050324,0.198993,0.179965,0.046063,0.051404,0.047618,0.049454,iphone-5
0.247161,0.188317,0.027554,0.192485,0.250755,0.029052,0.026548,0.025459,0.012668,0.267508,0.189077,0.025028,0.182117,0.252048,0.023858,0.024535,0.023427,0.012401,0.241700,0.213407,0.022072,0.219895,0.228478,0.021066,0.021456,0.021374,0.010553,iphone-4S
0.225674,0.154106,0.049865,0.149321,0.231828,0.044758,0.047690,0.049478,0.047279,0.222153,0.150409,0.049567,0.149829,0.229766,0.049801,0.050775,0.050131,0.047569,0.209804,0.186708,0.041624,0.185806,0.219132,0.039876,0.040255,0.040867,0.035929,iphone-5S
0.119773,0.042550,0.107061,0.044742,0.108680,0.105393,0.106191,0.104008,0.261602,0.099827,0.039530,0.093857,0.057695,0.107947,0.125533,0.111193,0.095444,0.268973,0.149676,0.054900,0.099730,0.068667,0.119410,0.104282,0.115044,0.091159,0.197132,iphone-5S
0.191561,0.121651,0.076604,0.127831,0.181172,0.075023,0.085351,0.085474,0.055333,0.197413,0.107710,0.075044,0.128344,0.188256,0.081408,0.091058,0.074879,0.055887,0.163761,0.164234,0.072354,0.184560,0.154974,0.071553,0.077877,0.071266,0.039421,iphone-4S
0.208910,0.150981,0.055850,0.145833,0.204116,0.046876,0.051613,0.053917,0.081903,0.199307,0.148185,0.052910,0.147074,0.202618,0.053933,0.058106,0.053788,0.084078,0.185556,0.183002,0.048939,0.185459,0.186708,0.048254,0.047924,0.049148,0.065010,iphone-5S
0.216595,0.130938,0.056414,0.139961,0.218303,0.056576,0.060918,0.057260,0.063036,0.223652,0.114698,0.056213,0.130342,0.220880,0.062690,0.066540,0.056745,0.068240,0.190156,0.168655,0.050260,0.185935,0.192846,0.053015,0.057615,0.050365,0.051154,iphone-5
0.179304,0.108120,0.079355,0.108675,0.193430,0.083749,0.088944,0.092167,0.066256,0.202608,0.088656,0.080177,0.112781,0.176039,0.087712,0.102371,0.081121,0.068535,0.169059,0.147172,0.073647,0.165096,0.166677,0.077856,0.081080,0.073339,0.046073,iphone-4S
0.218735,0.212556,0.036985,0.209537,0.218029,0.037576,0.029277,0.030574,0.006731,0.219403,0.200763,0.038102,0.215729,0.211939,0.039079,0.033606,0.033555,0.007823,0.175918,0.264828,0.033760,0.260229,0.166733,0.032373,0.030716,0.028609,0.006834,iphone-4
0.169203,0.069328,0.109139,0.061973,0.154493,0.086293,0.093052,0.101188,0.155331,0.168212,0.065646,0.098127,0.074910,0.161276,0.094719,0.100012,0.092407,0.144689,0.175559,0.092625,0.094156,0.096701,0.173400,0.087848,0.086776,0.090643,0.102292,iphone-5S
